observation_name,observation_sum,E1aJ0_C,E1aJ16_A,E1aJ40_B,E1aJ40_E,E1aJ5_B,E1bJ16_C,E1bJ40_C,E1bJ5_C,E1cJ16_D,E1cJ40_D,E1cJ5_D,E4aJ16_C,E4aJ40_C,E4aJ5_C,E5aJ16_A,E5aJ40_C,E5aJ5_D,E6aJ16_A,E6aJ40_B,E6aJ40_E,E6aJ48_A,E6aJ54_D,E6aJ5_B,E6bJ16_D,E6bJ40_D,E6bJ54_D,E7aJ16_A,E7aJ26_A,E7aJ40_B,E7aJ40_D,E7aJ40_E,E7aJ48_B,E7aJ48_E,E7aJ54_D,E7aJ5_B,E7aJ61_A,E7aJ69_B,E7aJ69_E,E7aJ96_D,E7bJ26_D,E7bJ40_D,E7bJ54_D,E7bJ69_D,E7bJ69_E,E8aJ0_C,E8aJ111_C,E8aJ16_A,E8aJ40_C,E8aJ5_C,E8aJ69_B,E8aJ69_E,E8aJ82_D,E8aJ96_B,E8aJ96_E,E8bJ111_C,E8bJ16_B,E8bJ40_C,E8bJ5_C,E8bJ69_B,E8bJ69_E,E8bJ82_C,E8bJ96_B,E8bJ96_E,E8cJ111_C,E8cJ16_B,E8cJ40_C,E8cJ5_C,E8cJ69_B,E8cJ69_E,E8cJ82_D,E8cJ96_B,E8cJ96_E,E9aJ16_A,E9aJ40_C,E9aJ5_C
Cluster_143,193,1,2,0,3,0,6,0,5,0,1,1,2,0,5,1,0,1,1,0,1,0,1,0,4,1,0,1,1,0,4,2,0,7,0,0,2,0,5,1,2,4,1,2,1,2,1,18,2,2,0,10,5,0,5,4,0,2,0,0,11,2,2,15,1,1,7,3,0,11,1,1,14,2,1,1
Cluster_144,202,0,8,0,27,0,3,34,1,2,22,0,5,25,0,3,21,1,0,0,26,2,6,0,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_145,188,29,6,0,10,2,5,7,13,5,5,3,6,8,7,1,6,2,2,0,11,1,2,0,4,2,1,3,3,1,1,6,1,8,2,1,0,0,5,3,2,1,2,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0
Cluster_146,188,0,1,0,97,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,3,0,31,0,0,0,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,1,0,1,0,0,0,16,0,0,4,0,0,0
Cluster_147,205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,7,0,0,57,16,0,42,0,2,0
Cluster_148,182,4,2,0,0,2,1,3,2,1,1,0,5,4,4,3,3,1,4,2,3,2,3,0,2,2,3,3,1,0,5,1,1,1,2,0,1,0,7,6,1,0,4,1,0,0,1,5,0,2,3,5,3,2,4,3,1,0,1,0,8,2,4,8,5,1,5,1,2,5,1,2,7,4,2,4
Cluster_149,225,0,0,0,0,0,5,0,6,0,1,0,3,0,2,0,1,0,1,0,3,0,0,0,0,0,0,4,2,0,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,16,3,45,0,12,0,0,1,1,0,5,32,0,12,0,0,1,0,0,19,17,0,12,1,0,4,0,0,0
Cluster_150,176,7,4,0,1,7,1,1,3,2,0,4,4,0,6,1,0,4,7,0,13,1,4,1,1,3,0,2,0,4,8,9,4,17,1,2,3,1,4,0,0,2,8,1,1,0,0,5,0,4,1,1,0,0,0,2,2,0,1,2,0,0,0,12,0,0,0,0,0,1,0,2,1,0,0,0
Cluster_151,178,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,1,21,1,2,11,1,0,1,0,1,14,1,15,8,3,2,6,0,4,29,4,3,23,4,4,0
Cluster_152,169,4,3,0,3,0,1,2,0,0,2,0,1,1,0,0,1,0,0,2,8,3,4,1,1,1,2,0,0,2,0,6,0,13,1,0,8,1,33,13,0,1,3,4,17,0,2,1,0,1,0,2,1,4,8,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0
Cluster_153,179,5,1,0,12,1,3,2,1,2,5,0,1,3,2,1,4,0,2,1,7,1,5,0,1,0,1,1,3,0,8,2,0,2,2,1,4,0,14,1,1,1,2,1,8,1,0,4,0,5,2,8,0,0,9,2,1,0,0,0,5,0,1,4,0,0,1,0,3,6,0,1,10,1,3,0
Cluster_154,162,5,2,0,0,0,1,1,1,0,5,0,4,2,1,0,1,1,4,1,3,0,11,0,1,1,2,0,1,0,2,1,0,0,0,0,0,0,7,32,0,0,2,11,16,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,1,0,8,0,0,3,0,0,1,1,1,2,0,2,0
Cluster_157,157,0,114,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_159,157,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,16,1,0,0,0,1,0,0,1,1,0,6,0,9,0,0,3,0,9,1,0,0,0,1,4,0,0,1,0,0,0,12,2,0,9,1,0,0,0,1,14,0,3,19,0,0,0,0,0,11,0,1,19,3,1,0
Cluster_160,192,0,8,0,4,1,1,1,3,1,5,2,2,3,3,0,1,0,1,0,7,2,5,1,0,2,2,3,1,0,1,11,1,17,0,0,4,1,5,7,1,2,3,1,5,0,0,4,0,0,0,3,0,0,5,0,1,0,1,3,14,1,7,9,2,0,0,1,2,9,0,0,12,0,0,0
Cluster_163,194,0,1,1,4,0,2,0,0,0,1,0,0,1,2,0,0,2,1,3,4,0,3,1,2,1,1,3,0,7,14,3,1,4,0,9,1,1,4,3,0,0,14,4,1,0,0,15,0,0,6,6,0,1,14,0,1,0,1,5,6,0,2,9,0,1,1,0,4,10,0,1,12,0,0,0
Cluster_164,155,5,3,0,23,0,7,4,4,3,4,2,7,5,1,2,3,3,8,0,14,0,5,0,1,2,1,4,3,0,2,6,0,5,0,0,1,0,3,0,1,0,2,1,2,0,0,4,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,1
Cluster_165,149,14,2,0,6,2,1,2,6,1,2,3,3,1,11,3,4,2,0,0,4,2,14,4,0,0,9,0,0,0,0,0,0,0,0,1,1,0,5,2,0,0,1,2,5,0,1,0,0,2,0,0,0,1,0,6,0,0,0,0,11,2,0,7,0,0,2,0,0,1,0,1,0,1,1,0
Cluster_166,148,0,0,0,146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster_168,140,5,3,0,4,0,2,2,2,1,3,0,3,11,2,0,1,0,2,1,8,1,2,0,2,2,1,1,0,0,1,4,0,4,0,0,2,1,8,4,1,1,2,1,5,0,1,5,0,1,0,8,0,1,3,1,0,0,0,0,9,0,0,3,2,0,1,0,1,4,0,0,4,0,3,0
Cluster_169,134,0,13,0,1,0,5,0,0,1,0,0,3,0,0,11,0,0,14,0,6,0,0,0,3,1,0,42,9,5,2,8,0,0,0,1,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_170,132,7,0,0,3,0,1,3,2,0,1,0,3,1,2,3,1,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0,1,2,10,1,0,0,0,1,0,1,4,0,2,1,2,2,3,11,1,0,0,0,1,4,1,4,6,3,1,0,2,4,4,5,1,11,0,0,2
Cluster_171,132,4,3,0,0,0,1,1,2,1,1,0,4,4,1,4,6,0,0,1,3,1,5,1,3,2,3,1,2,0,3,3,1,1,1,0,3,0,4,5,1,1,1,0,2,0,0,4,0,6,1,3,0,1,5,1,0,0,1,0,2,0,1,4,5,0,2,1,1,0,0,3,2,3,3,3
Cluster_172,135,1,1,0,11,0,0,2,0,0,1,1,0,0,0,1,0,0,2,0,7,1,0,0,0,0,0,2,1,0,0,4,0,7,1,1,1,0,5,3,0,0,1,1,5,0,0,3,0,0,1,3,1,0,9,0,0,0,0,0,14,0,1,14,2,0,0,0,0,7,0,0,20,0,0,0
Cluster_173,130,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0
Cluster_174,144,9,5,0,7,0,1,3,2,1,3,0,3,1,3,6,5,1,0,0,4,1,5,0,4,1,2,0,0,0,2,2,0,1,1,1,3,0,2,0,1,0,1,0,9,0,0,4,0,2,0,7,1,0,5,1,1,0,2,1,8,2,0,1,2,0,0,0,1,6,0,0,4,1,3,2
Cluster_175,133,6,2,0,4,0,3,3,3,0,2,0,3,3,2,0,0,0,1,0,3,4,1,0,0,2,2,1,4,0,2,2,1,5,0,2,1,0,6,4,1,0,0,0,3,0,2,6,0,1,2,5,0,0,8,0,0,1,0,0,6,0,3,6,2,0,3,0,0,1,1,0,5,1,3,1
Cluster_176,120,10,0,0,5,2,2,1,6,0,1,2,1,1,3,0,1,0,1,1,5,0,0,2,1,1,0,0,1,0,2,2,0,5,0,2,1,0,4,1,0,0,1,0,3,3,0,8,0,8,0,5,0,0,2,0,0,1,1,0,8,0,1,1,0,0,0,2,1,2,1,1,1,1,1,4
Cluster_177,123,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,12,0,0,0,0,0,4,0,0,1,0,0,1,13,0,0,12,0,1,1,0,0,9,0,0,15,0,0,0,0,1,6,1,0,22,0,0,0
Cluster_178,149,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_179,253,0,0,0,18,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,30,0,0,3,0,2,3,0,2,0,9,4,6,25,0,2,0,1,22,0,1,0,5,1,0,0,0,9,0,1,3,4,0,1,17,0,2,0,0,1,30,0,1,15,0,3,0,0,4,11,0,3,10,0,1,0
Cluster_181,116,7,0,0,3,2,3,0,2,2,0,1,1,0,1,5,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,6,3,6,4,0,3,1,14,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,6,2,0,0,0
Cluster_182,115,6,1,1,5,0,1,0,0,1,1,2,3,3,1,3,3,0,2,0,5,0,2,0,1,5,2,0,0,0,5,3,0,6,0,2,1,0,7,1,0,1,1,1,4,0,0,1,0,1,0,2,0,0,2,1,0,1,2,0,2,0,1,4,0,0,1,1,1,6,3,0,5,0,0,1
Cluster_183,120,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,14,1,0,0,1,0,0,2,3,0,0,5,0,6,0,0,0,0,4,0,0,0,0,0,2,0,0,17,0,0,0,5,0,0,10,0,0,0,0,0,5,0,0,8,0,0,0,0,0,8,0,1,11,7,0,0
Cluster_184,112,0,2,0,9,0,4,22,0,1,16,0,2,6,1,1,10,0,0,0,8,3,6,0,1,1,3,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Cluster_185,117,6,1,0,3,0,3,0,4,2,1,0,1,0,2,3,0,1,1,0,2,1,1,0,2,1,2,2,2,0,1,4,0,6,0,1,1,0,4,5,1,1,2,0,1,0,0,6,0,3,0,4,0,0,4,1,1,0,1,1,3,0,1,8,0,0,0,0,1,2,1,1,5,3,3,0
Cluster_186,122,3,5,0,1,0,2,2,4,0,3,0,1,2,1,2,0,1,5,0,0,1,4,0,2,3,2,7,4,0,6,0,0,0,0,0,8,0,0,20,1,0,2,0,0,0,1,9,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,7,3,0
Cluster_187,113,3,2,0,4,0,2,1,1,0,3,1,0,2,0,4,2,1,8,0,4,1,0,0,0,3,3,6,2,0,5,1,0,4,3,1,3,0,9,4,2,1,1,0,3,0,1,11,0,2,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Cluster_189,126,5,3,0,4,0,5,4,3,2,12,2,4,5,3,1,9,3,1,0,2,1,6,0,5,2,2,2,0,0,0,0,0,0,0,0,1,0,1,3,0,1,2,1,0,2,1,5,0,0,0,1,1,0,0,1,0,0,3,0,0,2,0,0,4,0,2,2,0,0,2,0,0,0,3,2
Cluster_190,126,5,0,0,5,0,4,1,2,0,6,0,4,4,2,0,5,0,2,0,7,1,2,0,2,2,2,1,0,0,0,3,0,6,3,0,3,0,6,3,0,0,1,1,5,1,0,2,0,0,0,8,0,0,7,0,0,1,0,0,6,0,0,4,1,0,1,0,0,3,0,0,2,0,1,1
Cluster_191,109,2,0,0,7,0,5,7,1,0,2,1,2,2,2,0,8,1,1,1,9,0,10,0,1,1,4,1,2,0,1,2,0,3,1,0,1,0,4,0,0,1,0,2,5,0,0,1,0,1,0,0,0,0,1,3,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,1,3,0
Cluster_192,128,3,0,0,1,0,2,6,1,1,7,1,1,5,6,0,4,1,0,0,0,1,3,0,1,1,3,0,1,0,6,0,0,1,1,0,4,0,2,5,3,0,5,0,0,0,0,2,1,4,0,3,1,0,1,2,0,0,1,0,2,3,0,3,12,0,1,0,0,2,3,0,3,1,3,4
Cluster_193,105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,1,2,1,0,1,1,1,3,2,0,2,0,6,3,0,0,5,2,3,0,1,4,0,3,0,1,1,0,0,3,0,0,0,1,10,2,0,16,4,0,4,0,1,5,1,0,3,2,2,0
Cluster_194,118,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,1,2,1,6,6,0,0,0,1,3,0,0,2,0,2,0,6,0,1,2,1,10,4,0,7,5,5,0
Cluster_195,125,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,2,3,0,0,1,2,0,0,0,2,2,0,4,6,0,2,0,3,10,0,0,2,2,0,0,4,0,0,0,0,13,4,0,4,2,0,0,0,0,4,2,0,3,18,0,0,0,0,6,4,0,14,0,0,0
Cluster_196,108,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_197,113,0,1,0,8,0,0,1,1,0,1,1,0,1,2,1,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,10,0,1,0,2,0,2,0,0,5,0,0,0,4,0,0,11,0,0,0,0,1,17,0,0,6,0,0,1,0,0,2,0,0,11,1,0,0
Cluster_198,136,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,1,1,0,1,8,0,8,1,4,0,0,7,0,0,2,1,3,6,0,0,8,0,2,0,12,0,0,4,0,1,2,0,1,13,0,0,12,1,2,0,0,2,8,1,1,12,0,0,0
Cluster_199,101,0,6,1,9,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,28,9,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_201,148,9,0,0,5,0,2,3,7,4,8,0,9,6,2,0,7,2,0,0,6,2,9,0,3,2,2,0,0,0,3,3,0,0,0,0,0,0,7,2,0,1,3,0,3,0,0,2,0,2,0,4,1,0,0,1,0,0,2,0,2,0,0,7,4,0,2,1,0,0,1,0,6,0,3,0
Cluster_202,103,0,0,1,3,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,15,0,1,0,0,1,0,0,0,1,0,1,0,13,0,1,0,0,15,1,0,0,1,0,1,0,0,4,0,0,0,1,0,1,2,0,1,0,0,3,10,0,1,7,0,0,0,0,0,5,0,1,4,0,2,0
Cluster_203,99,2,1,0,1,0,1,1,1,2,0,2,0,0,1,3,0,0,2,0,4,1,1,0,2,1,1,2,0,0,1,3,0,6,1,0,1,0,6,2,1,0,1,0,0,1,0,3,0,0,0,4,1,0,7,0,0,0,0,0,8,0,0,0,2,0,1,0,0,5,1,0,15,0,0,0
Cluster_204,101,4,2,0,2,0,2,2,1,1,1,2,1,2,2,0,2,1,2,0,5,0,2,1,0,1,1,1,0,0,1,2,0,2,0,0,0,2,7,2,0,1,1,1,2,0,0,5,0,0,0,3,0,0,4,2,1,0,0,0,4,1,0,2,3,1,1,0,0,5,0,2,4,3,0,1
Cluster_205,144,0,1,0,5,0,2,0,0,2,0,0,1,3,1,1,2,0,0,0,1,2,0,0,2,1,2,3,3,0,3,3,0,8,1,0,1,0,12,6,1,3,5,4,3,0,3,4,0,1,1,6,1,0,8,4,0,0,0,2,3,1,0,4,1,0,5,0,0,8,2,2,5,0,0,1
Cluster_206,94,0,0,0,51,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0
Cluster_208,94,0,1,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,3,2,0,0,0,0,1,0,0,0,2,0,6,0,0,1,0,6,1,0,0,0,0,5,0,0,7,0,0,0,4,0,0,11,0,0,0,0,0,4,0,0,15,0,0,0,0,0,5,0,0,6,0,1,0
Cluster_209,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,3,59,0,0,3,6,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_210,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,4,25,2,0,3,0,0,9,1,3,4,4,0,1,0,1,17,0,0,4,0,0,0
Cluster_211,103,0,1,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,3,1,0,0,0,0,0,3,1,0,0,3,0,1,0,0,5,0,2,3,0,0,2,0,3,0,0,4,0,0,0,5,0,0,21,0,0,0,0,0,7,0,0,3,0,0,0,0,0,7,1,0,18,2,0,0
Cluster_213,89,5,3,0,7,1,4,3,1,1,2,0,2,2,1,0,2,0,1,0,8,1,1,0,2,1,2,1,1,0,2,2,0,5,0,0,1,0,0,3,0,1,2,2,0,0,1,7,0,2,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0
Cluster_214,89,0,0,0,29,0,0,13,0,0,11,0,0,14,0,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_216,94,1,0,0,3,0,0,1,1,0,2,0,0,1,0,1,1,0,0,0,2,0,3,0,1,1,3,2,0,0,1,2,0,2,0,0,1,0,5,4,1,2,3,2,3,0,0,0,1,1,0,5,2,0,4,3,0,0,1,0,4,0,0,7,1,0,0,1,0,4,0,0,11,0,0,0
Cluster_217,89,12,3,1,2,0,5,2,2,0,5,0,9,7,2,3,7,0,2,0,0,1,3,0,4,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,3,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Cluster_218,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,1,1,9,0,0,1,0,1,10,0,4,15,2,0,0,0,2,7,3,1,12,4,1,0
Cluster_219,94,1,0,1,1,0,1,0,2,1,2,2,1,4,1,0,2,0,2,0,1,2,4,2,0,0,1,3,0,0,1,2,0,3,3,0,2,0,4,2,0,0,2,1,1,0,0,2,0,2,1,2,0,1,4,3,1,1,1,1,4,1,0,1,1,1,3,0,1,2,0,1,3,0,1,1
Cluster_220,90,2,0,0,5,0,3,5,3,0,7,4,6,5,2,0,2,0,0,0,0,0,2,0,3,2,3,0,0,0,0,0,0,1,0,1,2,0,1,4,0,0,0,1,1,0,0,3,0,4,0,0,1,0,1,0,0,0,0,0,2,0,0,4,2,0,0,1,0,0,1,0,5,0,1,0
Cluster_222,81,1,10,0,4,0,0,1,0,1,2,0,0,1,0,15,0,0,2,0,6,31,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster_223,80,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,4,2,1,0,0,0,2,0,0,1,0,0,0,7,0,0,12,0,0,0,0,0,8,0,1,14,0,0,0,0,0,4,0,0,4,4,0,0
Cluster_224,79,0,0,3,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,11,0,4,1,0,1,1,0,0,1,3,0,1,9,0,3,0,2,10,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0
Cluster_225,105,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,14,0,0,0,0,0,1,0,0,3,0,0,0,10,0,0,3,0,0,0,0,0,15,0,0,11,0,0,0,0,1,7,0,0,9,0,0,1
Cluster_226,75,0,2,0,2,0,0,0,1,1,0,1,0,0,0,4,0,0,3,0,5,3,1,0,0,1,0,0,0,0,2,1,1,2,0,0,0,0,3,2,0,0,0,1,1,0,0,1,0,0,1,0,0,1,7,0,0,0,0,0,4,0,0,7,1,0,0,0,2,6,0,1,6,1,0,0
Cluster_227,72,1,1,0,4,0,1,2,0,1,2,0,1,2,0,1,5,0,1,0,2,2,6,0,0,2,1,0,0,0,3,2,0,3,1,0,3,0,4,2,0,0,1,4,4,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
Cluster_229,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,13,3,1,1
Cluster_230,69,0,1,0,2,0,1,1,0,1,2,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,4,3,0,0,0,1,1,0,1,0,0,0,0,4,2,0,4,2,0,0,0,0,8,0,0,16,0,0,1,0,0,0,0,0,1,0,0,0
Cluster_232,73,0,0,0,2,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,7,1,3,0,1,1,2,0,1,0,1,2,0,2,0,0,1,0,6,1,0,0,0,2,4,0,0,0,1,0,0,5,0,0,2,2,0,0,0,0,5,0,0,11,1,0,0,0,0,1,1,0,1,0,0,0
Cluster_233,91,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,9,0,1,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,17,0,0,0,0,0,3,0,2,0,0,0,0,4,0,0,5,0,0,0,0,0,6,0,0,26,0,0,0,0,0,2,0,0,2,0,0,0
Cluster_234,69,1,1,0,3,0,6,1,5,2,4,2,3,4,2,1,2,2,1,1,3,1,2,0,1,1,1,1,1,0,4,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Cluster_235,72,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,7,2,0,0,0,0,0,2,1,0,0,3,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,6,0,0,0,0,0,2,1,1,5,0,0,0,0,1,3,0,0,3,1,0,1
Cluster_236,69,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,1,0,0,2,1,0,0,0,3,0,3,0,1,0,0,4,1,0,0,3,2,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,7,0,0,4,0,0,0,0,2,5,0,2,3,0,0,0
Cluster_237,81,9,4,0,1,0,1,0,2,1,0,0,0,0,1,2,0,1,3,0,3,1,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,2,0,1,0,1,0,1,0,0,3,1,1,0,1,0,0,3,2,1,0,0,0,3,0,0,2,2,0,0,0,0,6,1,1,6,2,3,1
Cluster_238,75,6,2,0,0,0,1,1,4,2,0,1,4,2,1,1,0,1,1,0,1,3,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,1,7,0,1,0,1,1,0,3,0,0,0,0,0,1,1,0,1,2,0,2,1,0,1,3,0,2,2,3,0
Cluster_239,72,4,2,0,5,0,1,2,1,1,3,0,4,3,3,0,4,0,0,0,1,0,2,0,1,2,2,3,1,0,1,0,0,1,1,0,3,0,3,2,1,0,1,1,0,1,0,3,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Cluster_240,62,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,1,1,2,0,2,1,0,3,1,4,0,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,3,2,1,1,0,0,0,0,1,7,0,0,1,0,0,0,1,1,3,1,0,3,2,0,0
