observation_name,observation_sum,E1aJ0_C,E1aJ16_A,E1aJ40_B,E1aJ40_E,E1aJ5_B,E1bJ16_C,E1bJ40_C,E1bJ5_C,E1cJ16_D,E1cJ40_D,E1cJ5_D,E4aJ16_C,E4aJ40_C,E4aJ5_C,E5aJ16_A,E5aJ40_C,E5aJ5_D,E6aJ16_A,E6aJ40_B,E6aJ40_E,E6aJ48_A,E6aJ54_D,E6aJ5_B,E6bJ16_D,E6bJ40_D,E6bJ54_D,E7aJ16_A,E7aJ26_A,E7aJ40_B,E7aJ40_D,E7aJ40_E,E7aJ48_B,E7aJ48_E,E7aJ54_D,E7aJ5_B,E7aJ61_A,E7aJ69_B,E7aJ69_E,E7aJ96_D,E7bJ26_D,E7bJ40_D,E7bJ54_D,E7bJ69_D,E7bJ69_E,E8aJ0_C,E8aJ111_C,E8aJ16_A,E8aJ40_C,E8aJ5_C,E8aJ69_B,E8aJ69_E,E8aJ82_D,E8aJ96_B,E8aJ96_E,E8bJ111_C,E8bJ16_B,E8bJ40_C,E8bJ5_C,E8bJ69_B,E8bJ69_E,E8bJ82_C,E8bJ96_B,E8bJ96_E,E8cJ111_C,E8cJ16_B,E8cJ40_C,E8cJ5_C,E8cJ69_B,E8cJ69_E,E8cJ82_D,E8cJ96_B,E8cJ96_E,E9aJ16_A,E9aJ40_C,E9aJ5_C
Cluster_8,14350,349,412,18,276,80,121,20,194,144,60,159,107,23,105,350,40,86,422,19,227,132,126,62,160,56,88,472,288,40,186,323,20,342,28,60,127,4,247,270,129,74,74,35,175,79,38,2230,32,331,38,301,61,60,580,44,97,30,251,45,502,47,103,358,52,154,126,168,78,412,103,53,637,434,77,99
Cluster_9,13086,302,108,13,227,35,180,164,200,102,177,77,173,207,154,105,176,88,141,23,265,94,183,35,103,128,123,128,120,32,170,263,31,318,71,40,108,18,414,191,84,93,133,101,232,76,58,602,65,352,54,575,102,35,231,158,46,128,186,39,376,104,126,410,290,56,244,135,89,486,161,44,625,198,780,125
Cluster_10,11671,50,130,7,149,14,122,102,166,67,102,67,156,112,176,150,145,67,370,29,477,319,600,20,366,322,271,366,490,34,708,361,29,620,376,20,453,17,816,250,234,269,622,487,613,9,1,64,2,26,3,26,2,0,10,5,1,4,7,5,31,6,4,17,15,2,15,5,5,27,5,0,16,9,25,3
Cluster_11,10702,363,163,5,338,32,174,181,196,42,86,65,96,161,175,130,127,41,126,8,398,75,183,10,63,80,62,124,149,15,167,341,8,596,54,19,91,4,602,142,54,42,111,72,335,15,52,482,4,100,7,304,59,37,857,47,10,8,47,9,564,24,31,485,93,16,46,38,13,289,74,21,497,69,74,24
Cluster_13,10605,381,79,0,124,0,222,113,221,101,151,81,248,147,172,101,180,70,57,0,142,86,251,1,125,137,145,101,126,2,427,406,0,530,363,3,410,1,278,522,140,234,596,326,534,55,45,121,22,204,1,155,47,2,105,88,0,33,116,1,183,74,0,183,149,0,82,58,2,127,43,0,129,34,134,78
Cluster_14,10284,489,82,4,226,16,214,181,213,97,236,107,171,231,163,50,176,68,98,12,238,65,184,10,113,123,110,61,48,11,133,193,13,319,127,18,100,5,340,306,91,63,165,55,127,98,93,221,35,249,17,340,112,22,274,138,13,54,141,26,312,96,34,310,212,16,141,148,37,340,123,26,376,65,232,131
Cluster_15,7512,13,56,10,381,0,104,480,19,36,266,7,80,464,13,43,420,9,41,15,362,226,627,1,33,167,219,22,38,5,86,56,4,168,61,1,84,5,378,398,7,26,123,123,164,0,20,41,5,7,4,121,33,14,188,126,1,5,2,6,182,28,14,411,63,3,23,4,13,99,44,23,171,5,11,4
Cluster_16,7505,23,141,2,307,6,24,42,36,33,64,9,16,35,11,166,25,9,196,3,407,99,43,5,30,37,29,158,158,6,68,275,6,398,47,6,160,4,435,106,13,32,53,35,187,7,13,498,7,30,12,292,38,8,522,24,3,21,22,7,397,23,31,458,31,3,22,24,8,341,40,13,568,66,15,16
Cluster_17,6877,951,211,0,22,25,726,21,673,437,21,294,944,17,474,412,24,167,179,0,27,4,13,9,129,5,13,20,11,3,8,15,0,11,7,7,10,0,30,75,7,2,19,6,9,119,8,31,3,101,0,26,4,2,44,28,0,2,52,2,30,9,0,109,35,1,11,34,4,33,12,4,78,8,16,33
Cluster_18,6693,66,33,40,352,22,243,150,145,92,140,58,178,205,112,46,171,32,30,34,411,27,145,14,95,97,66,17,24,17,126,227,19,351,52,16,19,7,306,119,33,71,105,30,136,15,23,34,12,83,17,207,23,26,167,59,7,24,36,29,221,29,46,214,106,9,66,27,34,174,36,18,226,4,29,13
Cluster_19,5958,201,27,3,20,3,59,45,88,26,66,29,90,60,79,40,66,28,34,7,37,28,90,4,64,39,56,44,53,5,118,48,8,75,68,4,62,2,34,80,41,64,103,47,58,55,173,182,61,110,24,196,164,27,207,276,4,90,111,13,236,223,30,309,403,10,206,26,16,134,120,34,164,17,98,36
Cluster_20,5844,420,84,3,73,41,221,60,247,119,54,105,198,94,166,73,69,56,98,5,134,19,66,30,90,40,27,54,41,17,89,121,6,132,30,27,41,8,134,197,49,31,69,25,80,56,53,139,8,194,7,94,25,18,156,75,15,3,99,9,114,40,41,192,105,20,29,84,18,96,56,23,162,45,50,75
Cluster_21,5094,43,54,0,112,1,43,60,30,36,194,10,38,97,10,31,84,10,41,2,94,68,135,0,34,101,68,23,31,2,55,46,3,103,55,0,101,1,208,228,26,44,99,46,76,12,121,90,20,29,3,151,97,5,271,159,1,54,23,2,179,120,12,339,201,0,38,10,11,183,76,12,294,12,15,11
Cluster_22,4905,4,2,0,0,0,32,4,69,14,7,19,27,1,55,3,9,19,12,0,24,0,0,0,29,14,0,92,47,0,97,93,0,28,4,0,0,0,2,1,142,36,13,1,9,9,95,597,79,915,0,280,11,0,10,43,0,58,563,0,322,17,0,5,22,0,388,271,0,237,21,0,50,0,3,0
Cluster_23,4534,17,84,29,502,2,97,236,20,47,237,6,94,281,11,54,252,8,62,56,426,112,292,4,44,107,116,4,8,14,70,107,25,227,54,3,87,22,282,79,6,26,105,51,142,3,1,1,1,0,0,3,0,0,1,8,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,1
Cluster_24,4306,204,210,15,98,78,498,188,274,217,129,120,425,170,205,220,127,56,126,20,34,21,36,35,114,49,29,41,23,10,31,6,5,9,5,29,13,4,5,1,22,5,10,4,6,10,0,88,0,69,1,7,0,1,3,0,9,2,18,0,7,0,3,3,3,12,11,29,2,1,2,1,5,26,48,18
Cluster_25,4250,17,27,2,52,25,6,5,90,11,19,98,4,13,76,38,14,47,48,9,104,18,6,32,12,50,6,391,219,7,78,81,3,59,9,61,18,0,10,5,49,14,17,1,7,6,0,1200,4,213,2,60,0,1,7,1,24,6,128,3,41,0,5,11,6,25,31,65,5,32,1,0,44,408,15,48
Cluster_26,4236,22,5,0,134,0,85,113,31,45,90,11,85,91,20,8,96,12,11,0,202,16,148,0,27,55,82,1,10,0,44,91,0,141,55,0,25,0,213,99,26,35,82,69,168,3,57,3,9,20,0,92,22,0,84,323,0,23,7,1,159,87,0,701,24,0,27,4,0,66,13,1,54,0,3,5
Cluster_27,3612,80,122,25,351,20,190,188,118,58,178,46,95,138,58,30,69,10,24,4,78,18,52,6,34,35,39,19,24,7,32,55,3,75,17,3,39,7,89,24,16,16,29,15,42,14,16,74,8,61,8,70,13,6,68,30,4,12,38,8,86,21,21,74,46,6,30,16,13,89,29,4,90,20,37,22
Cluster_28,3366,180,84,1,131,3,262,145,316,150,181,137,280,156,252,108,165,84,38,0,55,16,57,0,46,29,24,20,12,0,16,4,0,27,7,1,8,0,22,9,13,6,21,11,16,14,2,32,1,39,1,19,4,0,11,1,0,0,22,0,16,4,0,11,11,0,8,12,0,18,2,0,17,6,13,9
Cluster_30,3122,318,68,4,85,3,202,31,226,91,25,83,128,48,106,76,34,38,34,2,69,13,24,3,37,37,27,23,20,2,56,60,3,59,18,2,11,0,66,16,28,14,43,14,33,45,7,145,8,80,0,38,1,0,7,26,3,15,59,3,49,16,0,43,5,1,39,44,3,41,4,1,14,36,61,48
Cluster_31,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,11,126,16,77,362,25,0,1,0,42,360,15,229,542,94,2,0,0,50,201,70,85,745,0,0,0
Cluster_32,2808,51,20,7,131,7,27,60,13,17,51,8,17,37,10,22,77,6,3,4,43,18,62,1,6,32,35,0,0,0,1,3,0,5,13,1,49,16,200,452,5,1,120,262,506,2,3,0,0,3,0,8,1,3,5,197,0,0,3,0,6,0,3,122,3,6,3,3,1,5,0,17,8,4,2,1
Cluster_33,2744,36,16,0,24,0,30,33,35,23,26,14,59,76,25,42,93,7,79,8,275,73,146,0,87,124,89,10,21,5,65,68,1,91,34,0,44,2,146,106,9,24,63,40,65,10,3,32,9,26,2,43,8,0,20,19,0,5,19,2,56,14,2,52,24,2,30,4,0,32,15,0,37,21,32,11
